name|newurl|oldurl
I have verified the VPN is connected. How can a website still know where I am?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219831087-I-have-verified-the-VPN-is-connected-How-can-a-website-still-know-where-I-am-|
Can I change my payment method to a different one?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219656627-Can-I-change-my-payment-method-to-a-different-one-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/35/2/can-i-change-my-payment-method-to-a-different-one
Can I reactivate my cancelled service?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219656667-Can-I-reactivate-my-cancelled-service-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/79/2/can-i-resume-my-recurrent-payments-if-i-have-cancelled-the-auto-renewal
Why haven't I received my login information from you?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332208-Why-haven-t-I-received-my-login-information-from-you-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/100
Why does your iOS application use IPSec instead of OpenVPN?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332228-Why-does-your-iOS-application-use-IPSec-instead-of-OpenVPN-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/101
Why am I unable to receive emails from your account system?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332348-Why-am-I-unable-to-receive-emails-from-your-account-system-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/137
Why can't I sign up for your service?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/221329088-Why-can-t-I-sign-up-for-your-service-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/154/2/why-cant-i-sign-up-for-your-service
Where are you located?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/221245047-Where-are-you-located-|
Can I purchase Private Internet Access in one country and use it in another?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220934227-Can-I-purchase-Private-Internet-Access-in-one-country-and-use-it-in-another-|
Can I use PrivateInternetAccess.com in another country?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220723848-Can-I-use-PrivateInternetAccess-com-in-another-country-|
How do I find my payment processor ID?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/221045587-How-do-I-find-my-payment-processor-ID-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/153
What ports are used by your VPN service?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220934827-What-ports-are-used-by-your-VPN-service-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/108
Why do I receive an Ocra Error When Trying To Install/Run Your Application?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220934707-Why-do-I-receive-an-Ocra-Error-When-Trying-To-Install-Run-Your-Application-|
Why is the icon for my VPN software not red or green?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220934367-Why-is-the-icon-for-my-VPN-software-not-red-or-green-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/42/6/why-is-the-icon-for-my-vpn-software-not-red-or-green
Am I eligible for a refund after more than 7 days from the sign up date?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/220934247-Am-I-eligible-for-a-refund-after-more-than-7-days-from-the-sign-up-date-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/12
Are there any restrictions on what characters can be used in my password?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219656587-Are-there-any-restrictions-on-what-characters-can-be-used-in-my-password-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/45
"Why is there an additional 'pre-authorization' charge of $1 on my credit card statement?"|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332128-Why-is-there-an-additional-pre-authorization-charge-of-1-on-my-credit-card-statement-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/103
Can I change my Private Internet Access user name or account login?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219330188-Can-I-change-my-Private-Internet-Access-user-name-or-account-login-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/28
Am I able to receive a refund more than 7 days after the last payment?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219656547-Am-I-able-to-receive-a-refund-more-than-7-days-after-the-last-payment-|
What methods of payment do you accept for account purchases?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219331288-What-methods-of-payment-do-you-accept-for-account-purchases-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/80
Can I resume my recurrent payments if I have cancelled the auto-renewal?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219331088-Can-I-resume-my-recurrent-payments-if-I-have-cancelled-the-auto-renewal-|
What is an MTR test, and how do I run it?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219333928-What-is-an-MTR-test-and-how-do-I-run-it-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/66/6/what-is-an-mtr-test-and-how-do-i-run-it
What is an MTR test, and how do I run it?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219333928-What-is-an-MTR-test-and-how-do-I-run-it-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/66/18/what-is-an-mtr-test-and-how-do-i-run-it
What operating systems are supported?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332588-What-operating-systems-are-supported-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/55/5/what-operating-systems-are-supported
What operating systems are supported?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332588-What-operating-systems-are-supported-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/55/6/what-operating-systems-are-supported
What operating systems are supported?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332588-What-operating-systems-are-supported-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/55/7/what-operating-systems-are-supported
What operating systems are supported?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332588-What-operating-systems-are-supported-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/55/16/what-operating-systems-are-supported
What operating systems are supported?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332588-What-operating-systems-are-supported-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/55/17/what-operating-systems-are-supported
What operating systems are supported?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332588-What-operating-systems-are-supported-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/55/18/what-operating-systems-are-supported
What operating systems are supported?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332588-What-operating-systems-are-supported-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/55/23/what-operating-systems-are-supported
Why am I getting locked out of my Google account while the VPN is active?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219332528-Why-am-I-getting-locked-out-of-my-Google-account-while-the-VPN-is-active-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/105
What version of OpenSSL is used by Private Internet Access?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219658067-What-version-of-OpenSSL-is-used-by-Private-Internet-Access-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/61/23/what-version-of-openssl-is-used-by-private-internet-access
Do you log the traffic of your users?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219457547-Do-you-log-the-traffic-of-your-users-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/18
Will my subscription renew automatically?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219331368-Will-my-subscription-renew-automatically-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/40
I just signed up for an account. How come I do not see my account information yet?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219657547-I-just-signed-up-for-an-account-How-come-I-do-not-see-my-account-information-yet-|
How do I request a refund?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219657287-How-do-I-request-a-refund-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/147
How do I recover my lost password?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219657127-How-do-I-recover-my-lost-password-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/6
How do I locate the Amazon Transaction ID# for my subscription?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219330868-How-do-I-locate-the-Amazon-Transaction-ID-for-my-subscription-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/37
How do I change my current subscription to a yearly payment term?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219657107-How-do-I-change-my-current-subscription-to-a-yearly-payment-term-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/78
How do I cancel my subscription?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219657047-How-do-I-cancel-my-subscription-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/5
How can I pay with Bitcoins?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219330588-How-can-I-pay-with-Bitcoins-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/86
How can I change the email address on my account?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219330308-How-can-I-change-the-email-address-on-my-account-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/38
How can I change the credit card details on my account?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219656687-How-can-I-change-the-credit-card-details-on-my-account-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/106
Antivirus File Exclusions for the PIA App|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219455127-Antivirus-File-Exclusions-for-the-PIA-App|
How many devices can I use simultaneously while connected to the VPN service?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219498687-How-many-devices-can-I-use-simultaneously-while-connected-to-the-VPN-service-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/124
How to change DNS settings in Windows|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219460397-How-to-change-DNS-settings-in-Windows|https://support.privateinternetaccess.com/Knowledgebase/Article/View/92
How do I create a debug log for the PIA app? (desktop/laptop)|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219459157-How-do-I-create-a-debug-log-for-the-PIA-app-desktop-laptop-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/89/6/how-to-create-a-debug-log-for-the-pia-client-app-windowsmac-osx
How do I create a debug log for the PIA app? (desktop/laptop)|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219459157-How-do-I-create-a-debug-log-for-the-PIA-app-desktop-laptop-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/89/18/how-to-create-a-debug-log-for-the-pia-client-app-windowsmac-osx
Can I configure the VPN on my smart TV or video game console?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219458977-Can-I-configure-the-VPN-on-my-smart-TV-or-video-game-console-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/36/17/can-i-configure-the-vpn-on-my-smart-tv-or-video-game-console
Setting Up OpenVPN on DD-WRT|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/218992848-Setting-Up-OpenVPN-on-DD-WRT|
Installing the PIA App on Android|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219438777-Installing-the-PIA-App-on-Android|
Installing the PIA App on Windows|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219436817-Installing-the-PIA-App-on-Windows|
Is the PIA VPN software compatible with use of Malwarebytes?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219008198-Is-the-PIA-VPN-software-compatible-with-use-of-Malwarebytes-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/109/23/is-the-pia-vpn-software-compatible-with-use-of-malwarebytes
How can I disable debug information in your Windows application?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219458837-How-can-I-disable-debug-information-in-your-Windows-application-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/116
Location-Aware Browsing|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219660787-Location-Aware-Browsing|https://support.privateinternetaccess.com/Knowledgebase/Article/View/127/23/location-aware-browsing
How do I know if I am connected to and protected by the VPN?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219058008-How-do-I-know-if-I-am-connected-to-and-protected-by-the-VPN-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/11/23/how-do-i-know-if-i-am-connected-to-and-protected-by-the-vpn
Changing Ports on Linux|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219498247-Changing-Ports-on-Linux|https://support.privateinternetaccess.com/Knowledgebase/Article/View/130/7/changing-ports-on-linux
How to change DNS settings in OSX|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219460387-How-to-change-DNS-settings-in-OSX|https://support.privateinternetaccess.com/Knowledgebase/Article/View/96
Setting Up OpenVPN on pfSense|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/218992878-Setting-Up-OpenVPN-on-pfSense|https://support.privateinternetaccess.com/Knowledgebase/Article/View/29/17/pfsense-20
Installing the PIA App on iOS|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/218985598-Installing-the-PIA-App-on-iOS|
What is the difference between the OpenVPN config files on your website?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/218984968-What-is-the-difference-between-the-OpenVPN-config-files-on-your-website-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/57/23/what-is-the-difference-between-the-openvpn-config-files-on-your-website
Installing the PIA App on Mac OSX|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/218984198-Installing-the-PIA-App-on-Mac-OSX|
What can be done about WebRTC issues?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219334068-What-can-be-done-about-WebRTC-issues-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/113/23/what-can-be-done-about-webrtc-issues
Flushing (clearing) the DNS cache under Ubuntu 12.04/11.10|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219498837-Flushing-clearing-the-DNS-cache-under-Ubuntu-12-04-11-10|https://support.privateinternetaccess.com/Knowledgebase/Article/View/114/7/how-to-flush-clear-dns-cache-under-ubuntu-12041110
How do I find an IP address for one of your VPN gateways?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219498467-How-do-I-find-an-IP-address-for-one-of-your-VPN-gateways-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/77/23/how-do-i-find-an-ip-address-for-one-of-your-vpn-gateways
How do I disable debug logging in your OSX application?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219497517-How-do-I-disable-debug-logging-in-your-OSX-application-|
How to change DNS settings in Linux (using Network Manager)|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219016658-How-to-change-DNS-settings-in-Linux-using-Network-Manager-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/152
Why is my antivirus detecting an unsafe program after installing your app?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219456787-Why-is-my-antivirus-detecting-an-unsafe-program-after-installing-your-app-|
Setting Up OpenVPN on Tomato|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219439417-Setting-Up-OpenVPN-on-Tomato|
Instaling OpenVPN + PIA on Android|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219438937-Instaling-OpenVPN-PIA-on-Android|https://support.privateinternetaccess.com/Knowledgebase/Article/View/68/5/how-do-i-set-up-openvpn-on-an-android-device
Instaling OpenVPN + PIA on Android|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219438937-Instaling-OpenVPN-PIA-on-Android|https://support.privateinternetaccess.com/Knowledgebase/Article/View/70/5/android-openvpn-for-restrictive-networks
SOCKS5 Proxy|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219438507-SOCKS5-Proxy|
Installing the PIA App on Linux|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219438217-Installing-the-PIA-App-on-Linux|https://support.privateinternetaccess.com/Knowledgebase/Article/View/156/7/how-to-install-our-vpn-application-on-debian-based-linux
When I connect to PIA, why do websites show me coming from a different location than you say your servers are?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219828687-When-I-connect-to-PIA-why-do-websites-show-me-coming-from-a-different-location-than-you-say-your-servers-are-|
Installing OpenVPN + PIA on iOS|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/218985608-Installing-OpenVPN-PIA-on-iOS|https://support.privateinternetaccess.com/Knowledgebase/Article/View/44/16/is-it-possible-to-use-openvpn-on-my-iphone-or-ipad
Can I use your service with OSX 10.10 (Yosemite)?|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219498117-Can-I-use-your-service-with-OSX-10-10-Yosemite-|
How to change DNS settings in Android (Wifi only)|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219460377-How-to-change-DNS-settings-in-Android-Wifi-only-|https://support.privateinternetaccess.com/Knowledgebase/Article/View/112
"I am seeing the error 'Create IP forward entry error' in my debug log"|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219459287-I-am-seeing-the-error-Create-IP-forward-entry-error-in-my-debug-log|https://support.privateinternetaccess.com/Knowledgebase/Article/View/59/18/i-am-seeing-the-error-create-ip-forward-entry-error-in-my-debug-log
Setting Up an ASUS Router Running Merlin Firmware|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219459057-Setting-Up-an-ASUS-Router-Running-Merlin-Firmware|https://support.privateinternetaccess.com/Knowledgebase/Article/View/142/17/how-do-i-setup-my-asus-router-running-merlin-firmware
Geo-Locked Content Restrictions|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219457617-Geo-Locked-Content-Restrictions|
Installing OpenVPN + PIA on Windows|https://helpdesk.privateinternetaccess.com/hc/en-us/articles/219436917-Installing-OpenVPN-PIA-on-Windows|
